0,1,2,3,4,5
0.0,0.0,-1.0,0.0,0.0,0.0
-0.0008100696105729931,0.005116128993877446,-1.0005600289600753,-0.004726165236581281,-0.0008100054979586083,0.00016901110663755789
-0.001621142984263052,0.010243189419725709,-1.00109755301034,-0.009486813318595208,-0.001620452793001625,0.0003382694611956114
-0.0024332541263827343,0.015381016002094763,-1.0016120835253248,-0.014282276650693652,-0.0024313592983528447,0.0005077818517879818
-0.0032464368327533195,0.020529441106195753,-1.0021031296632084,-0.01911288759570877,-0.0032427422923450196,0.0006775550712424519
-0.0040607246897462115,0.025688294709972345,-1.002570198368537,-0.02397897844475435,-0.004054618918274359,0.0008475959183441796
-0.0048761510743491636,0.03085740437618496,-1.003012794375049,-0.02888088138721264,-0.004867006184266862,0.001017911199054635
-0.00569274915426001,0.03603659522452363,-1.0034304202086122,-0.033818928480619515,-0.00567992096315791,0.0011885077277045187
-0.0065105518880107386,0.041225689903765746,-1.0038225761902677,-0.03879345162046121,-0.006493379992386612,0.0013593923281590707
-0.007329592025124898,0.04642450856399536,-1.004188760439389,-0.04380478250989655,-0.007307399873906488,0.001530571834954112
-0.008149902106311453,0.05163286882890137,-1.004528468876953,-0.04885325262941884,-0.008121997074114146,0.0017020530944011072
-0.00897151446369841,0.0568505857681722,-1.0048411952289242,-0.05393919320647238,-0.00893718792379769,0.0018738429656594694
-0.00979446122110963,0.06207747187000526,-1.0051264310297576,-0.059062935185038745,-0.00975298861810669,0.0020459483217742714
-0.01061877429438848,0.06731333701374982,-1.005383665626015,-0.06422480919520894,-0.01056941521654561,0.0022183760506774577
-0.01144448539177207,0.07255798844270268,-1.0056123861801016,-0.06942514552275748,-0.011386483642992702,0.0023911330561505913
-0.012271626014320051,0.07781123073707623,-1.0058120776741186,-0.07466427407873552,-0.012204209685746445,0.0025642262587470986
-0.013100227456402064,0.08307286578715918,-1.005982222913839,-0.07994252436910018,-0.013022608997601692,0.00273766259667191
-0.013930320806248175,0.08834269276669086,-1.0061223025328019,-0.08526022546439826,-0.013841697095957797,0.0029114490266163237
-0.01476193694656674,0.09362050810647017,-1.0062317949965278,-0.09061770596952243,-0.014661489362961076,0.0030855925245458515
-0.015595106555234368,0.09890610546822125,-1.0063101766068592,-0.09601529399355896,-0.015482001045684044,0.003260100086438728
-0.016429860106062833,0.10419927571873797,-1.0063569215064214,-0.10145331711974649,-0.016303247256343977,0.0034349787289727
-0.017266227869647946,0.10949980690433038,-1.0063715016832102,-0.10693210237556554,-0.017125242972563442,0.0036102354901576318
-0.018104239914305622,0.11480748422559632,-1.006353386975303,-0.11245197620297927,-0.017948003037675513,0.003785877429911386
-0.018943926107100557,0.12012209001254222,-1.0063020450756965,-0.11801326442884635,-0.018771542161076543,0.003961911630576368
-0.019785316114973132,0.12544340370007767,-1.0062169415372721,-0.12361629223552734,-0.019595874918629394,0.00413834519737404
-0.020628439405970332,0.13077120180390872,-1.0060975397778873,-0.12926138413170607,-0.02042101575312019,0.004315185258794626
-0.021473325250586744,0.13610525789685538,-1.005943301085598,-0.13494886392344882,-0.021246978974771707,0.004492438966919169
-0.022320002723221804,0.14144534258561978,-1.0057536846240103,-0.14067905468552325,-0.02207377876181669,0.004670113497670978
-0.023168500703759778,0.14679122348803136,-1.0055281474377624,-0.1464522787330008,-0.022901429161134374,0.0048482160509934705
-0.02401884787927909,0.15214266521079647,-1.0052661444581412,-0.15226885759316544,-0.02372994408895377,0.00502675385095129
-0.024871072745897872,0.15749942932778022,-1.0049671285088309,-0.15812911197775317,-0.024559337331627167,0.005205734145751509
